topic,explanation_type,mean_rating,sd,n,sem,ci95_low,ci95_high,explanation_type_name
Belly/stomach pain,A,6.279569892473118,1.0317398635534403,372,0.05349322000163388,6.174723181269916,6.38441660367632,Rule-based decision path
Belly/stomach pain,B,4.589473684210526,1.2994395937791225,380,0.06665984465298531,4.458820388690675,4.720126979730377,Local feature-attribution / key-factor explanation
Belly/stomach pain,C,4.361757105943153,1.3858593835613608,387,0.07044719155837745,4.223680610488733,4.499833601397572,Counterfactual explanation
Belly/stomach pain,D,3.2967032967032965,1.6713070749332344,364,0.08760029320792863,3.1250067220157565,3.4683998713908366,LLM natural-language explanation
Belly/stomach pain,E,5.957446808510638,1.1423007764287774,376,0.05890966452132784,5.841983866048835,6.072909750972441,Doctor-written-style explanation
Cold/cough/sore throat,A,6.206730769230769,1.2165734557038723,416,0.059647421061087044,6.089821823951039,6.3236397145105,Rule-based decision path
Cold/cough/sore throat,B,4.454545454545454,1.286401782280539,385,0.06556110553996325,4.3260456876871265,4.583045221403782,Local feature-attribution / key-factor explanation
Cold/cough/sore throat,C,4.180156657963447,1.2786703567195101,383,0.06533700308155688,4.052096131923595,4.308217184003298,Counterfactual explanation
Cold/cough/sore throat,D,3.400943396226415,1.6615806245046718,424,0.08069348848740708,3.242784158791097,3.559102633661733,LLM natural-language explanation
Cold/cough/sore throat,E,6.016483516483516,1.0574425967671115,364,0.05542505199474064,5.907850414573825,6.125116618393208,Doctor-written-style explanation
Fever/flu-like symptoms,A,6.344387755102041,1.0517403103729974,392,0.05312090753657076,6.240270776330362,6.448504733873719,Rule-based decision path
Fever/flu-like symptoms,B,4.404761904761905,1.2589410154788305,336,0.06868086308233706,4.270147413120524,4.539376396403286,Local feature-attribution / key-factor explanation
Fever/flu-like symptoms,C,4.393258426966292,1.2967389436416856,356,0.06872702655909368,4.258553454910468,4.5279633990221155,Counterfactual explanation
Fever/flu-like symptoms,D,3.144542772861357,1.6869823590286726,339,0.09162430471429195,2.9649591356213447,3.3241264101013694,LLM natural-language explanation
Fever/flu-like symptoms,E,5.905263157894737,1.090362523147444,380,0.05593441723371127,5.795631700116663,6.014894615672811,Doctor-written-style explanation
Headache,A,6.101851851851852,1.3556884955142257,324,0.07531602752856809,5.954232437895858,6.249471265807846,Rule-based decision path
Headache,B,4.637096774193548,1.3755744347907686,372,0.07132021206920672,4.497309158537903,4.776884389849193,Local feature-attribution / key-factor explanation
Headache,C,4.116883116883117,1.2370399257197724,308,0.07048689151930648,3.9787288095052764,4.255037424260958,Counterfactual explanation
Headache,D,3.6266666666666665,1.6802877069565758,300,0.09701145599273979,3.4365242129208964,3.8168091204124366,LLM natural-language explanation
Headache,E,6.01,0.9554805826455651,300,0.055164697159587744,5.901877193567207,6.118122806432792,Doctor-written-style explanation
Nausea/vomiting/diarrhea,A,6.507936507936508,1.0079052613579393,252,0.06349206349206349,6.3834920634920636,6.632380952380952,Rule-based decision path
Nausea/vomiting/diarrhea,B,4.786885245901639,1.1347812696670587,244,0.07264692658723022,4.644497269790668,4.92927322201261,Local feature-attribution / key-factor explanation
Nausea/vomiting/diarrhea,C,4.162280701754386,1.1854395902706318,228,0.07850765473296899,4.008405698477767,4.316155705031005,Counterfactual explanation
Nausea/vomiting/diarrhea,D,3.33203125,1.6695394970928183,256,0.10434621856830115,3.1275126616061297,3.5365498383938703,LLM natural-language explanation
Nausea/vomiting/diarrhea,E,6.092741935483871,1.0663550530311114,248,0.06771361358112302,5.96002325286487,6.225460618102872,Doctor-written-style explanation
Skin/rash/itching,A,6.541666666666667,0.7646190122256271,192,0.05518162406699645,6.433510683495354,6.64982264983798,Rule-based decision path
Skin/rash/itching,B,4.5,1.0954451150103321,176,0.08257228238447704,4.338158326526425,4.661841673473575,Local feature-attribution / key-factor explanation
Skin/rash/itching,C,4.479166666666667,1.1754840078474318,192,0.08483325104485187,4.312893494618757,4.6454398387145766,Counterfactual explanation
Skin/rash/itching,D,3.2884615384615383,1.6892560574107969,208,0.11712883331505325,3.058889025164034,3.5180340517590425,LLM natural-language explanation
Skin/rash/itching,E,6.165,0.7620225665686011,200,0.053883132423783515,6.0593890604493845,6.2706109395506155,Doctor-written-style explanation
