type_1,type_2,type_1_wins,type_2_wins,no_clear_preference,total_valid_preferences,type_1_win_percentage,type_2_win_percentage
A,B,77,8,0,85,90.58823529411765,9.411764705882353
A,C,123,17,0,140,87.85714285714286,12.142857142857142
A,D,88,22,0,110,80.0,20.0
A,E,132,19,0,151,87.41721854304636,12.582781456953644
B,C,70,35,0,105,66.66666666666666,33.33333333333333
B,D,129,27,0,156,82.6923076923077,17.307692307692307
B,E,14,109,0,123,11.38211382113821,88.6178861788618
C,D,97,16,0,113,85.84070796460178,14.15929203539823
C,E,10,92,0,102,9.803921568627452,90.19607843137256
D,E,21,76,0,97,21.649484536082475,78.35051546391753
